epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.674,1.66561,1.88431,1.49718,0.54813,0.55393,0.55012,0.21899,1.94658,1.5151,1.644,0.000475971,0.000475971,0.000475971
2,361.293,1.54934,1.44142,1.42558,0.6622,0.62427,0.67399,0.33708,1.60235,1.27343,1.46287,0.000936591,0.000936591,0.000936591
3,532.39,1.53948,1.3491,1.43039,0.688,0.67523,0.72328,0.37155,1.57558,1.14321,1.40372,0.00138149,0.00138149,0.00138149
4,703.305,1.50203,1.2539,1.41439,0.76971,0.70411,0.78885,0.39307,1.54039,1.10505,1.41548,0.00135826,0.00135826,0.00135826
5,874.338,1.47277,1.18816,1.39126,0.83256,0.75425,0.83169,0.41728,1.64651,0.99878,1.37919,0.00133469,0.00133469,0.00133469
6,1047.34,1.45288,1.13874,1.37627,0.84325,0.74808,0.84754,0.44096,1.56114,1.012,1.38145,0.00131111,0.00131111,0.00131111
7,1219.33,1.4347,1.1063,1.36578,0.81283,0.74113,0.82084,0.42415,1.51684,1.00437,1.34091,0.00128753,0.00128753,0.00128753
8,1392.09,1.40621,1.05259,1.34349,0.84425,0.79261,0.86847,0.3948,1.75253,0.96485,1.42672,0.00126395,0.00126395,0.00126395
9,1564.05,1.39643,1.0374,1.33865,0.85596,0.78101,0.86374,0.44923,1.5055,0.89946,1.32808,0.00124037,0.00124037,0.00124037
10,1735.41,1.38485,0.9971,1.32309,0.87367,0.83135,0.89704,0.50831,1.45705,0.81418,1.28053,0.00121679,0.00121679,0.00121679
11,1905.26,1.36257,0.9727,1.3122,0.81825,0.80938,0.86389,0.48718,1.37798,0.85905,1.27478,0.00119322,0.00119322,0.00119322
12,2077.09,1.35432,0.94984,1.30423,0.83919,0.81919,0.87077,0.48807,1.40373,0.83911,1.26688,0.00116964,0.00116964,0.00116964
13,2248.42,1.34085,0.9347,1.29791,0.8735,0.80663,0.89531,0.48814,1.4655,0.84133,1.2989,0.00114606,0.00114606,0.00114606
14,2418.48,1.32263,0.904,1.28665,0.84876,0.84338,0.89358,0.49232,1.44824,0.81191,1.27929,0.00112248,0.00112248,0.00112248
15,2588.9,1.31229,0.8912,1.27271,0.91854,0.7785,0.90809,0.52264,1.42431,0.78814,1.271,0.0010989,0.0010989,0.0010989
16,2759.02,1.29866,0.87717,1.27061,0.82489,0.83563,0.88548,0.51055,1.39416,0.81543,1.26987,0.00107532,0.00107532,0.00107532
