epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5815,1.91676,2.69542,1.52512,0.27311,0.32291,0.29402,0.15813,1.50963,1.829,1.32403,0.000473319,0.000473319,0.000473319
2,48.5364,1.80109,1.8116,1.42488,0.77766,0.43394,0.49033,0.25071,1.56397,1.47822,1.29135,0.000933983,0.000933983,0.000933983
3,69.8498,1.78332,1.62944,1.40109,0.82449,0.45221,0.50727,0.22634,1.71494,1.58614,1.43731,0.00137893,0.00137893,0.00137893
4,90.4481,1.73398,1.55717,1.37106,0.73043,0.49572,0.54633,0.27242,1.64714,1.33235,1.31115,0.00135826,0.00135826,0.00135826
5,111.177,1.72237,1.46125,1.37177,0.67787,0.52336,0.59211,0.28841,1.59252,1.28192,1.28555,0.00133469,0.00133469,0.00133469
6,131.708,1.68161,1.39084,1.3397,0.58845,0.50193,0.55123,0.29935,1.38966,1.31095,1.25498,0.00131111,0.00131111,0.00131111
7,152.691,1.6501,1.35407,1.32863,0.68049,0.54566,0.61762,0.35043,1.41693,1.14083,1.21994,0.00128753,0.00128753,0.00128753
8,173.682,1.62991,1.27466,1.30172,0.686,0.57551,0.61721,0.35476,1.33852,1.15014,1.20989,0.00126395,0.00126395,0.00126395
9,194.773,1.59463,1.25332,1.29524,0.7175,0.58471,0.62853,0.34572,1.42808,1.14531,1.24144,0.00124037,0.00124037,0.00124037
10,215.892,1.60159,1.22464,1.29089,0.65887,0.57688,0.62157,0.37426,1.31022,1.05358,1.18513,0.00121679,0.00121679,0.00121679
11,236.541,1.60219,1.19921,1.28007,0.80819,0.61081,0.65963,0.40895,1.25826,1.00617,1.15525,0.00119322,0.00119322,0.00119322
12,257.289,1.54745,1.16632,1.26076,0.68909,0.596,0.64915,0.39307,1.30033,1.01383,1.1628,0.00116964,0.00116964,0.00116964
13,278.394,1.55137,1.13995,1.25934,0.70137,0.55564,0.6565,0.40041,1.28056,0.99606,1.16289,0.00114606,0.00114606,0.00114606
14,299.196,1.55119,1.1266,1.25396,0.78533,0.56673,0.64626,0.37286,1.3683,1.01992,1.18497,0.00112248,0.00112248,0.00112248
15,320.065,1.53809,1.10945,1.2551,0.78059,0.62327,0.68429,0.42305,1.23067,0.91208,1.13161,0.0010989,0.0010989,0.0010989
16,340.795,1.54662,1.09696,1.25011,0.7288,0.69432,0.71057,0.43532,1.25398,0.93457,1.15638,0.00107532,0.00107532,0.00107532
17,360.945,1.50974,1.08217,1.2344,0.76402,0.61013,0.68802,0.42353,1.20582,0.92956,1.14895,0.00105174,0.00105174,0.00105174
18,381.173,1.50797,1.06666,1.2414,0.80381,0.59759,0.68031,0.41492,1.24403,0.92198,1.14838,0.00102817,0.00102817,0.00102817
19,401.62,1.47558,1.04369,1.21384,0.70064,0.67111,0.70492,0.42815,1.24803,0.91676,1.14195,0.00100459,0.00100459,0.00100459
20,422.211,1.52364,1.06336,1.24179,0.72536,0.63765,0.68625,0.43446,1.25954,0.90425,1.12505,0.000981008,0.000981008,0.000981008
21,442.92,1.45636,1.04697,1.21524,0.69288,0.67431,0.70186,0.45531,1.17669,0.86619,1.11919,0.00095743,0.00095743,0.00095743
22,463.186,1.4563,1.00754,1.20737,0.74191,0.60698,0.68812,0.39986,1.28857,0.88778,1.1642,0.000933851,0.000933851,0.000933851
23,484.223,1.46949,1.00964,1.21927,0.91571,0.62592,0.7197,0.41887,1.26528,0.86573,1.13262,0.000910273,0.000910273,0.000910273
24,505.134,1.42299,0.99343,1.19919,0.76341,0.63986,0.68502,0.44179,1.14975,0.86184,1.11214,0.000886694,0.000886694,0.000886694
25,525.902,1.40067,0.956,1.18638,0.88101,0.63878,0.71902,0.45118,1.18406,0.82565,1.12787,0.000863116,0.000863116,0.000863116
26,546.298,1.43931,0.97955,1.20426,0.9154,0.63199,0.71079,0.42739,1.21598,0.8479,1.1499,0.000839537,0.000839537,0.000839537
27,566.926,1.41802,0.95543,1.19108,0.73464,0.69531,0.72621,0.4518,1.16808,0.8022,1.11977,0.000815959,0.000815959,0.000815959
28,587.669,1.4062,0.9306,1.16301,0.7876,0.66259,0.73512,0.46639,1.19323,0.79778,1.11316,0.00079238,0.00079238,0.00079238
29,608.352,1.42081,0.96245,1.1948,0.73329,0.6831,0.71248,0.44922,1.1542,0.79232,1.11555,0.000768802,0.000768802,0.000768802
30,629.426,1.37217,0.92595,1.1717,0.79526,0.69193,0.74517,0.48348,1.11358,0.78176,1.09795,0.000745223,0.000745223,0.000745223
31,650.467,1.37227,0.88972,1.16149,0.83132,0.67472,0.74369,0.4744,1.12391,0.77028,1.09748,0.000721645,0.000721645,0.000721645
32,671.216,1.37171,0.89446,1.16322,0.87459,0.65831,0.74372,0.47119,1.15547,0.77303,1.1009,0.000698066,0.000698066,0.000698066
33,691.865,1.35345,0.89564,1.15991,0.84703,0.65886,0.72416,0.46818,1.11594,0.78068,1.09315,0.000674488,0.000674488,0.000674488
34,712.166,1.37899,0.90723,1.16822,0.82248,0.69263,0.73341,0.47165,1.11787,0.74604,1.09849,0.000650909,0.000650909,0.000650909
35,733.085,1.33558,0.888,1.15595,0.77933,0.70485,0.74299,0.48379,1.10167,0.74309,1.07992,0.000627331,0.000627331,0.000627331
36,753.5,1.34065,0.88377,1.14871,0.85989,0.70182,0.75038,0.49466,1.0815,0.73294,1.07595,0.000603752,0.000603752,0.000603752
