epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6172,1.07296,2.67435,1.5958,1.38054,0.95256,0.96899,0.98904,0.77588,0.90901,0.91339,0.93296,0.6473,0.75682,1.18321,0.77014,1.19912,0.000475316,0.000475316,0.000475316
2,150.9,0.91721,1.73501,0.88525,1.25888,0.92668,0.92984,0.95115,0.74818,0.85841,0.89922,0.88877,0.60881,0.76015,1.2084,0.85062,1.29035,0.000935947,0.000935947,0.000935947
3,220.742,0.88945,1.63892,0.77813,1.23997,0.98895,0.99346,0.99474,0.78005,0.90639,0.91013,0.89317,0.59137,0.76899,1.22851,0.59904,1.17811,0.00138086,0.00138086,0.00138086
4,291.515,0.83868,1.55987,0.71126,1.20162,0.99532,0.98279,0.99463,0.84949,0.95613,0.94554,0.93021,0.70075,0.60512,0.98673,0.54715,1.05934,0.00135826,0.00135826,0.00135826
5,361.303,0.81714,1.50799,0.66201,1.18826,0.99548,1,0.995,0.85737,0.97639,0.98077,0.96498,0.71389,0.66128,0.79672,0.48003,1.14027,0.00133469,0.00133469,0.00133469
6,431.744,0.77433,1.41832,0.61308,1.16544,0.99299,1,0.995,0.89184,0.96755,0.97436,0.96179,0.73948,0.53112,0.85517,0.48805,1.02369,0.00131111,0.00131111,0.00131111
7,501.629,0.75642,1.39117,0.59025,1.15077,0.98561,1,0.99481,0.85547,0.96657,0.98077,0.96966,0.69048,0.57055,1.01122,0.41947,1.02959,0.00128753,0.00128753,0.00128753
8,571.881,0.7294,1.3081,0.56539,1.13873,0.99592,1,0.995,0.88202,0.98318,0.98718,0.9837,0.7485,0.51861,0.78425,0.39531,0.99375,0.00126395,0.00126395,0.00126395
9,641.878,0.71114,1.27021,0.54304,1.12527,0.99105,1,0.99494,0.87584,0.9534,0.96154,0.95014,0.73813,0.56916,0.77249,0.42141,1.0312,0.00124037,0.00124037,0.00124037
10,712.684,0.69261,1.27407,0.53543,1.11095,0.99377,1,0.995,0.89169,0.9684,0.97436,0.96324,0.74479,0.52367,0.69975,0.38918,0.9973,0.00121679,0.00121679,0.00121679
11,782.628,0.68825,1.24715,0.52114,1.11297,0.9954,1,0.995,0.89538,0.97626,0.98077,0.97413,0.75928,0.48517,0.7213,0.3964,0.98591,0.00119322,0.00119322,0.00119322
12,853.964,0.65675,1.19456,0.49935,1.09644,0.98936,1,0.995,0.88823,0.97059,0.98077,0.97137,0.8036,0.48436,0.6626,0.35649,0.99418,0.00116964,0.00116964,0.00116964
13,924.256,0.647,1.15178,0.49146,1.08875,0.99699,1,0.995,0.91545,0.98423,0.98718,0.98283,0.80052,0.49171,0.63017,0.37203,0.95962,0.00114606,0.00114606,0.00114606
14,994.385,0.63506,1.12718,0.48146,1.08253,0.99737,1,0.995,0.90886,0.97824,0.98077,0.97101,0.81221,0.46493,0.60921,0.36707,0.96407,0.00112248,0.00112248,0.00112248
15,1064.14,0.6182,1.10754,0.47447,1.07156,0.99737,1,0.995,0.90964,0.98461,0.98718,0.97657,0.77373,0.45297,0.72725,0.31685,0.95321,0.0010989,0.0010989,0.0010989
16,1133.74,0.61967,1.10881,0.46549,1.06786,0.99684,1,0.995,0.91356,0.97766,0.98077,0.96684,0.81789,0.46122,0.62697,0.35929,0.93619,0.00107532,0.00107532,0.00107532
17,1204.57,0.59941,1.07119,0.453,1.0578,0.99654,1,0.995,0.92279,0.98377,0.98718,0.98127,0.80042,0.44748,0.65643,0.32482,0.93844,0.00105174,0.00105174,0.00105174
18,1274.94,0.60286,1.048,0.45174,1.06081,0.99746,1,0.995,0.91915,0.9783,0.98077,0.97166,0.79142,0.41653,0.62709,0.30564,0.92115,0.00102817,0.00102817,0.00102817
19,1345.68,0.58751,1.02816,0.44273,1.05165,0.9919,1,0.99494,0.92826,0.98563,0.99359,0.99167,0.82796,0.43924,0.56551,0.33814,0.93592,0.00100459,0.00100459,0.00100459
20,1417.65,0.59161,1.01336,0.4371,1.05623,0.99755,1,0.995,0.92493,0.98478,0.98718,0.9837,0.83313,0.42781,0.57815,0.3079,0.92382,0.000981008,0.000981008,0.000981008
21,1492.76,0.5627,1.01745,0.42107,1.03912,0.9969,1,0.995,0.92884,0.98413,0.98718,0.9817,0.81494,0.41049,0.58942,0.29517,0.91236,0.00095743,0.00095743,0.00095743
22,1567.41,0.56395,1.00908,0.42016,1.03647,0.99703,0.99346,0.99494,0.9195,0.98425,0.98064,0.98154,0.82859,0.42036,0.58496,0.29568,0.93585,0.000933851,0.000933851,0.000933851
